genome,text_length,pattern_length,k,source_start,source_found,algorithm_key,algorithm,runtime_sec,num_matches,matches_preview
GCF_000005845.2,8000,48,1,2666,True,suffix_tree,Suffix Tree with Backtracking,0.10193584100125008,1,[2666]
GCF_000005845.2,8000,48,2,2666,True,brute_force,Brute Force with k mismatches,0.002671407000889303,1,[2666]
GCF_000005845.2,8000,48,2,2666,True,rabin_karp,Rabin-Karp with Verification,0.009916869001244777,1,[2666]
GCF_000005845.2,8000,48,2,2666,True,kmp,KMP-based Filtering + Verification,0.002174545999878319,1,[2666]
GCF_000005845.2,8000,48,2,2666,True,boyer_moore,Boyer-Moore with Verification,0.003061686000364716,1,[2666]
GCF_000005845.2,8000,48,2,2666,True,suffix_array,Suffix Array with Candidate Verification,0.010891101001107018,1,[2666]
GCF_000005845.2,8000,48,2,2666,True,suffix_tree,Suffix Tree with Backtracking,0.025295419998656143,1,[2666]
GCF_000008865.2,1000,12,0,333,True,brute_force,Brute Force with k mismatches,0.00017132399989350233,1,[333]
GCF_000008865.2,1000,12,0,333,True,rabin_karp,Rabin-Karp with Verification,0.0005615330010186881,1,[333]
GCF_000008865.2,1000,12,0,333,True,kmp,KMP-based Filtering + Verification,8.737300049688201e-05,1,[333]
GCF_000008865.2,1000,12,0,333,True,boyer_moore,Boyer-Moore with Verification,7.1798000135459e-05,1,[333]
GCF_000008865.2,1000,12,0,333,True,suffix_array,Suffix Array with Candidate Verification,0.000530593000803492,1,[333]
GCF_000008865.2,1000,12,0,333,True,suffix_tree,Suffix Tree with Backtracking,0.002714778998779366,1,[333]
GCF_000008865.2,1000,12,1,333,True,brute_force,Brute Force with k mismatches,0.00025527500110911205,1,[333]
GCF_000008865.2,1000,12,1,333,True,rabin_karp,Rabin-Karp with Verification,0.0010602089987514773,1,[333]
GCF_000008865.2,1000,12,1,333,True,kmp,KMP-based Filtering + Verification,0.00018375600120634772,1,[333]
GCF_000008865.2,1000,12,1,333,True,boyer_moore,Boyer-Moore with Verification,0.00018808599998010322,1,[333]
GCF_000008865.2,1000,12,1,333,True,suffix_array,Suffix Array with Candidate Verification,0.000586189000387094,1,[333]
GCF_000008865.2,1000,12,1,333,True,suffix_tree,Suffix Tree with Backtracking,0.00345524799922714,1,[333]
GCF_000008865.2,1000,12,2,333,True,brute_force,Brute Force with k mismatches,0.0003339869999763323,1,[333]
GCF_000008865.2,1000,12,2,333,True,rabin_karp,Rabin-Karp with Verification,0.0009128419987973757,1,[333]
GCF_000008865.2,1000,12,2,333,True,kmp,KMP-based Filtering + Verification,0.00025457599986111745,1,[333]
GCF_000008865.2,1000,12,2,333,True,boyer_moore,Boyer-Moore with Verification,0.00039649599966651294,1,[333]
GCF_000008865.2,1000,12,2,333,True,suffix_array,Suffix Array with Candidate Verification,0.0006190839994815178,1,[333]
GCF_000008865.2,1000,12,2,333,True,suffix_tree,Suffix Tree with Backtracking,0.0027450199995655566,1,[333]
GCF_000008865.2,1000,24,0,333,True,brute_force,Brute Force with k mismatches,0.00017271999968215823,1,[333]
GCF_000008865.2,1000,24,0,333,True,rabin_karp,Rabin-Karp with Verification,0.0006944439992366824,1,[333]
GCF_000008865.2,1000,24,0,333,True,kmp,KMP-based Filtering + Verification,8.988800072984304e-05,1,[333]
GCF_000008865.2,1000,24,0,333,True,boyer_moore,Boyer-Moore with Verification,0.00016825099919515196,1,[333]
GCF_000008865.2,1000,24,0,333,True,suffix_array,Suffix Array with Candidate Verification,0.00037973400139890146,1,[333]
GCF_000008865.2,1000,24,0,333,True,suffix_tree,Suffix Tree with Backtracking,0.003096538001045701,1,[333]
GCF_000008865.2,1000,24,1,333,True,brute_force,Brute Force with k mismatches,0.0002519919999031117,1,[333]
GCF_000008865.2,1000,24,1,333,True,rabin_karp,Rabin-Karp with Verification,0.0010081069995067082,1,[333]
